03/04/y 09:00:29 | INFO | /Volumes/Dados/Senac/Python/ProjetoCalculadora/Calculadora-IPhone---Senac/main.py | InicializaÃ§Ã£o do programa.
03/04/y 09:02:16 | INFO | /Volumes/Dados/Senac/Python/ProjetoCalculadora/Calculadora-IPhone---Senac/main.py | InicializaÃ§Ã£o do programa.
03/04/y 10:06:56 | INFO | /Volumes/Dados/Senac/Python/ProjetoCalculadora/Calculadora-IPhone---Senac/main.py | InicializaÃ§Ã£o do programa.
03/04/y 11:52:28 | INFO | C:\Users\Bruno Mendes\Downloads\senac\main.py | Inicialização do programa.
08/04/y 13:25:09 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 13:26:48 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 13:27:03 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 13:27:54 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 13:33:11 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 13:34:55 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 13:39:12 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 13:56:08 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:01:23 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:03:09 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:04:29 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:11:36 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:14:48 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:15:40 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:18:48 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:25:55 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:31:10 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:32:30 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:34:03 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:36:15 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:36:46 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:38:03 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:38:23 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:40:59 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:45:55 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:47:36 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:50:23 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:51:49 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:57:38 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 14:59:57 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:00:29 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:00:51 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:01:15 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:03:31 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:03:43 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:06:39 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:08:02 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:16:30 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:18:13 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:21:03 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:23:47 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:28:47 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:34:01 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:36:16 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:38:05 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:39:35 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:41:27 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:43:01 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:46:44 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:46:57 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:47:27 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:47:58 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:51:26 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 15:59:26 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
08/04/y 16:02:06 | INFO | C:\Users\Bruno Mendes\Documents\GitHub\Calculadora-IPhone---Senac\main.py | Inicialização do programa.
